REEF_SITE,BLEACH_MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,LIFE_STAGE,ABUNDANCE
ATL,bleach,07/06/2024,FLAT,1,Adult,41
ATL,bleach,07/06/2024,FLAT,1,Juvenile,17
ATL,bleach,07/06/2024,FLAT,2,Adult,43
ATL,bleach,07/06/2024,FLAT,2,Juvenile,10
ATL,bleach,07/06/2024,FLAT,3,Adult,52
ATL,bleach,07/06/2024,FLAT,3,Juvenile,12
ATL,bleach,19/06/2024,FLAT,1,Adult,48
ATL,bleach,19/06/2024,FLAT,1,Juvenile,5
ATL,bleach,19/06/2024,FLAT,2,Adult,53
ATL,bleach,19/06/2024,FLAT,2,Juvenile,7
ATL,bleach,19/06/2024,FLAT,3,Adult,65
ATL,bleach,19/06/2024,FLAT,3,Juvenile,11
ATL,post-bleach,02/10/2024,CREST,1,Adult,24
ATL,post-bleach,02/10/2024,CREST,1,Juvenile,10
ATL,post-bleach,02/10/2024,CREST,2,Adult,20
ATL,post-bleach,02/10/2024,CREST,2,Juvenile,0
ATL,post-bleach,02/10/2024,CREST,3,Adult,15
ATL,post-bleach,02/10/2024,CREST,3,Juvenile,5
ATL,post-bleach,03/08/2024,CREST,1,Adult,31
ATL,post-bleach,03/08/2024,CREST,1,Juvenile,0
ATL,post-bleach,03/08/2024,CREST,2,Adult,35
ATL,post-bleach,03/08/2024,CREST,2,Juvenile,0
ATL,post-bleach,03/08/2024,CREST,3,Adult,42
ATL,post-bleach,03/08/2024,CREST,3,Juvenile,0
ATL,post-bleach,06/11/2024,CREST,1,Adult,21
ATL,post-bleach,06/11/2024,CREST,1,Juvenile,0
ATL,post-bleach,06/11/2024,CREST,2,Adult,17
ATL,post-bleach,06/11/2024,CREST,2,Juvenile,3
ATL,post-bleach,06/11/2024,CREST,3,Adult,29
ATL,post-bleach,06/11/2024,CREST,3,Juvenile,6
ATL,post-bleach,07/08/2024,CREST,1,Adult,29
ATL,post-bleach,07/08/2024,CREST,1,Juvenile,0
ATL,post-bleach,07/08/2024,CREST,2,Adult,45
ATL,post-bleach,07/08/2024,CREST,2,Juvenile,0
ATL,post-bleach,07/08/2024,CREST,3,Adult,39
ATL,post-bleach,07/08/2024,CREST,3,Juvenile,0
ATL,post-bleach,07/09/2024,FLAT,1,Adult,61
ATL,post-bleach,07/09/2024,FLAT,1,Juvenile,2
ATL,post-bleach,07/09/2024,FLAT,2,Adult,37
ATL,post-bleach,07/09/2024,FLAT,2,Juvenile,6
ATL,post-bleach,13/09/2024,FLAT,1,Adult,53
ATL,post-bleach,13/09/2024,FLAT,1,Juvenile,5
ATL,post-bleach,13/09/2024,FLAT,2,Adult,45
ATL,post-bleach,13/09/2024,FLAT,2,Juvenile,1
ATL,post-bleach,13/09/2024,FLAT,3,Adult,24
ATL,post-bleach,13/09/2024,FLAT,3,Juvenile,7
ATL,post-bleach,15/09/2024,FLAT,1,Adult,52
ATL,post-bleach,15/09/2024,FLAT,1,Juvenile,1
ATL,post-bleach,15/09/2024,FLAT,2,Adult,60
ATL,post-bleach,15/09/2024,FLAT,2,Juvenile,1
ATL,post-bleach,15/09/2024,FLAT,3,Adult,48
ATL,post-bleach,15/09/2024,FLAT,3,Juvenile,1
ATL,post-bleach,16/10/2024,CREST,1,Adult,13
ATL,post-bleach,16/10/2024,CREST,1,Juvenile,12
ATL,post-bleach,16/10/2024,CREST,2,Adult,18
ATL,post-bleach,16/10/2024,CREST,2,Juvenile,0
ATL,post-bleach,16/10/2024,CREST,3,Adult,11
ATL,post-bleach,16/10/2024,CREST,3,Juvenile,0
ATL,post-bleach,21/09/2024,CREST,1,Adult,16
ATL,post-bleach,21/09/2024,CREST,1,Juvenile,0
ATL,post-bleach,21/09/2024,CREST,2,Adult,21
ATL,post-bleach,21/09/2024,CREST,2,Juvenile,7
ATL,post-bleach,21/09/2024,CREST,3,Adult,20
ATL,post-bleach,21/09/2024,CREST,3,Juvenile,0
