REEF_SITE,YEAR,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,SIZE,a,b,IND_MASS,BLEACH_MONTH
MH4,2024,FEB,23/02/2024,CREST,1,6,0.025,3.146,7,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,3,0.025,3.146,0.8,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,8,0.025,3.146,17.3,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,7,0.025,3.146,11.4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,7,0.025,3.146,11.4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,6,0.025,3.146,7,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,5,0.025,3.146,4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,5,0.025,3.146,4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,8,0.025,3.146,17.3,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,6,0.025,3.146,7,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,9,0.025,3.146,25.1,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,7,0.025,3.146,11.4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,7,0.025,3.146,11.4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,8,0.025,3.146,17.3,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,7,0.025,3.146,11.4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,6,0.025,3.146,7,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,5,0.025,3.146,4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,7,0.025,3.146,11.4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,8,0.025,3.146,17.3,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,7,0.025,3.146,11.4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,9,0.025,3.146,25.1,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,7,0.025,3.146,11.4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,1,7,0.025,3.146,11.4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,2,3,0.025,3.146,0.8,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,2,6,0.025,3.146,7,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,2,6,0.025,3.146,7,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,2,6,0.025,3.146,7,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,2,6,0.025,3.146,7,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,2,6,0.025,3.146,7,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,2,7,0.025,3.146,11.4,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,2,6,0.025,3.146,7,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,2,4,0.025,3.146,2,pre-bleach
MH4,2024,FEB,23/02/2024,CREST,2,3,0.025,3.146,0.8,pre-bleach
