REEF_NAME,REEF_SITE,YEAR,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,SUBSTRATE_COVER,GENUS,PERCENT_COVER,BLEACH_MONTH
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,ACROPORA,1,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,GONIASTREA,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,FAVITES,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,GALAXEA,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,GONIASTREA,3,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,LOBOPHYLLIA,1,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,MONTIPORA,20,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,PACHYSERIS,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,PAVONA,1,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,PLATYGYRA,1,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,POCILLOPORA,1,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,1,LCC,PORITES,19,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,ACROPORA,3,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,GONIASTREA,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,FAVITES,1,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,GALAXEA,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,GONIASTREA,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,LOBOPHYLLIA,1,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,MONTIPORA,27,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,PACHYSERIS,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,PAVONA,5,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,PLATYGYRA,2,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,POCILLOPORA,2,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,2,LCC,PORITES,14,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,ACROPORA,6,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,GONIASTREA,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,FAVITES,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,GALAXEA,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,GONIASTREA,2,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,LOBOPHYLLIA,3,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,MONTIPORA,24,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,PACHYSERIS,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,PAVONA,1,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,PLATYGYRA,0,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,POCILLOPORA,1,pre-bleach
ATL,ATL,2024,FEB,09/02/2024,CREST,3,LCC,PORITES,18,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,ACROPORA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,GONIASTREA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,FAVITES,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,GALAXEA,1,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,GONIASTREA,1,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,LOBOPHYLLIA,5,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,MONTIPORA,10,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,PACHYSERIS,9,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,PAVONA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,PLATYGYRA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,POCILLOPORA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,1,LCC,PORITES,46,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,ACROPORA,3,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,GONIASTREA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,FAVITES,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,GALAXEA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,GONIASTREA,1,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,LOBOPHYLLIA,2,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,MONTIPORA,10,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,PACHYSERIS,1,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,PAVONA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,PLATYGYRA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,POCILLOPORA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,2,LCC,PORITES,42,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,ACROPORA,2,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,GONIASTREA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,FAVITES,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,GALAXEA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,GONIASTREA,1,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,LOBOPHYLLIA,1,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,MONTIPORA,2,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,PACHYSERIS,12,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,PAVONA,1,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,PLATYGYRA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,POCILLOPORA,0,pre-bleach
HS,HS,2024,FEB,07/02/2024,CREST,3,LCC,PORITES,47,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,ACROPORA,2,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,GONIASTREA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,FAVITES,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,GALAXEA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,GONIASTREA,2,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,LOBOPHYLLIA,2,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,MONTIPORA,1,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,PACHYSERIS,2,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,PAVONA,1,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,PLATYGYRA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,POCILLOPORA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,1,LCC,PORITES,48,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,ACROPORA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,GONIASTREA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,FAVITES,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,GALAXEA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,GONIASTREA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,LOBOPHYLLIA,2,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,MONTIPORA,4,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,PACHYSERIS,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,PAVONA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,PLATYGYRA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,POCILLOPORA,1,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,2,LCC,PORITES,51,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,ACROPORA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,GONIASTREA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,FAVITES,1,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,GALAXEA,1,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,GONIASTREA,1,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,LOBOPHYLLIA,1,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,MONTIPORA,5,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,PACHYSERIS,2,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,PAVONA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,PLATYGYRA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,POCILLOPORA,0,pre-bleach
HS,HS,2024,FEB,29/02/2024,CREST,3,LCC,PORITES,40,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,ACROPORA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,GONIASTREA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,FAVITES,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,GALAXEA,6,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,GONIASTREA,2,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,LOBOPHYLLIA,5,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,MONTIPORA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,PACHYSERIS,22,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,PAVONA,1,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,PLATYGYRA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,POCILLOPORA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,1,LCC,PORITES,19,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,ACROPORA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,GONIASTREA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,FAVITES,1,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,GALAXEA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,GONIASTREA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,LOBOPHYLLIA,4,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,MONTIPORA,2,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,PACHYSERIS,25,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,PAVONA,1,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,PLATYGYRA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,POCILLOPORA,0,pre-bleach
MH,MH4,2024,FEB,08/02/2024,CREST,2,LCC,PORITES,30,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,ACROPORA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,GONIASTREA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,FAVITES,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,GALAXEA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,GONIASTREA,1,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,LOBOPHYLLIA,8,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,MONTIPORA,7,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,PACHYSERIS,16,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,PAVONA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,PLATYGYRA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,POCILLOPORA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,1,LCC,PORITES,28,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,ACROPORA,2,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,GONIASTREA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,FAVITES,1,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,GALAXEA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,GONIASTREA,2,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,LOBOPHYLLIA,5,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,MONTIPORA,3,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,PACHYSERIS,25,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,PAVONA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,PLATYGYRA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,POCILLOPORA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,2,LCC,PORITES,21,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,ACROPORA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,GONIASTREA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,FAVITES,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,GALAXEA,1,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,GONIASTREA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,LOBOPHYLLIA,4,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,MONTIPORA,3,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,PACHYSERIS,13,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,PAVONA,1,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,PLATYGYRA,1,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,POCILLOPORA,0,pre-bleach
MH,MH4,2024,FEB,16/02/2024,CREST,3,LCC,PORITES,38,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,ACROPORA,0,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,GONIASTREA,0,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,FAVITES,0,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,GALAXEA,6,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,GONIASTREA,0,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,LOBOPHYLLIA,2,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,MONTIPORA,3,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,PACHYSERIS,22,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,PAVONA,4,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,PLATYGYRA,0,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,POCILLOPORA,0,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,1,LCC,PORITES,21,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,ACROPORA,2,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,GONIASTREA,0,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,FAVITES,0,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,GALAXEA,0,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,GONIASTREA,2,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,LOBOPHYLLIA,1,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,MONTIPORA,3,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,PACHYSERIS,24,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,PAVONA,1,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,PLATYGYRA,0,pre-bleach
MH,MH4,2024,FEB,23/02/2024,CREST,2,LCC,POCILLOPORA,0,pre-bleach
