REEF_SITE,YEAR,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,SUBSTRATE_COVER,PERCENT_COVER
ATL,2024,APR,06/04/2024,CREST,1,LCC,56
ATL,2024,APR,06/04/2024,CREST,2,LCC,54
ATL,2024,APR,06/04/2024,CREST,3,LCC,65
ATL,2024,APR,07/04/2024,FLAT,1,LCC,72
ATL,2024,APR,07/04/2024,FLAT,2,LCC,68
ATL,2024,APR,07/04/2024,FLAT,3,LCC,76
ATL,2024,APR,18/04/2024,FLAT,1,LCC,62
ATL,2024,APR,18/04/2024,FLAT,2,LCC,59
ATL,2024,APR,18/04/2024,FLAT,3,LCC,54
ATL,2024,AUG,03/08/2024,CREST,1,LCC,38
ATL,2024,AUG,03/08/2024,CREST,2,LCC,36
ATL,2024,AUG,03/08/2024,CREST,3,LCC,42
ATL,2024,AUG,07/08/2024,CREST,1,LCC,39
ATL,2024,AUG,07/08/2024,CREST,2,LCC,35
ATL,2024,AUG,07/08/2024,CREST,3,LCC,35
ATL,2024,AUG,23/08/2024,CREST,1,LCC,33
ATL,2024,AUG,23/08/2024,CREST,2,LCC,36
ATL,2024,AUG,23/08/2024,CREST,3,LCC,45
ATL,2024,FEB,09/02/2024,CREST,1,LCC,58
ATL,2024,FEB,09/02/2024,CREST,2,LCC,59
ATL,2024,FEB,09/02/2024,CREST,3,LCC,59
ATL,2024,JUL,10/07/2024,CREST,1,LCC,32
ATL,2024,JUL,10/07/2024,CREST,2,LCC,36
ATL,2024,JUL,10/07/2024,CREST,3,LCC,30
ATL,2024,JUL,13/07/2024,CREST,1,LCC,58
ATL,2024,JUL,13/07/2024,CREST,2,LCC,34
ATL,2024,JUL,13/07/2024,CREST,3,LCC,30
ATL,2024,JUL,24/07/2024,CREST,1,LCC,40
ATL,2024,JUL,24/07/2024,CREST,2,LCC,26
ATL,2024,JUL,24/07/2024,CREST,3,LCC,46
ATL,2024,JUN,01/06/2024,CREST,1,LCC,22
ATL,2024,JUN,01/06/2024,CREST,2,LCC,32
