REEF_SITE,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,BLEACH_STATUS,ABUNDANCE,PERCENT_ABUNDANCE
ATL,APR,06/04/2024,CREST,1,Bleached,28,6
ATL,APR,06/04/2024,CREST,1,H,423,94
ATL,APR,06/04/2024,CREST,2,Bleached,45,10
ATL,APR,06/04/2024,CREST,2,H,398,90
ATL,APR,06/04/2024,CREST,3,Bleached,56,9
ATL,APR,06/04/2024,CREST,3,H,571,91
ATL,APR,19/04/2024,FLAT,1,Bleached,77,10
ATL,APR,19/04/2024,FLAT,1,H,719,90
ATL,APR,19/04/2024,FLAT,2,Bleached,91,13
ATL,APR,19/04/2024,FLAT,2,H,619,87
ATL,APR,19/04/2024,FLAT,3,Bleached,91,14
ATL,APR,19/04/2024,FLAT,3,H,569,86
ATL,AUG,03/08/2024,CREST,1,Bleached,103,22
ATL,AUG,03/08/2024,CREST,1,H,357,78
ATL,AUG,03/08/2024,CREST,2,Bleached,146,30
ATL,AUG,03/08/2024,CREST,2,H,347,70
ATL,AUG,03/08/2024,CREST,3,Bleached,163,30
ATL,AUG,03/08/2024,CREST,3,H,389,70
ATL,JUL,10/07/2024,CREST,1,Bleached,355,61
ATL,JUL,10/07/2024,CREST,1,H,223,39
ATL,JUL,10/07/2024,CREST,2,Bleached,292,59
ATL,JUL,10/07/2024,CREST,2,H,204,41
ATL,JUL,10/07/2024,CREST,3,Bleached,294,54
ATL,JUL,10/07/2024,CREST,3,H,255,46
ATL,JUL,26/07/2024,CREST,1,Bleached,176,29
ATL,JUL,26/07/2024,CREST,1,H,439,71
ATL,JUL,26/07/2024,CREST,2,Bleached,250,37
ATL,JUL,26/07/2024,CREST,2,H,433,63
ATL,JUL,26/07/2024,CREST,3,Bleached,137,31
ATL,JUL,26/07/2024,CREST,3,H,306,69
ATL,JUN,07/06/2024,FLAT,1,Bleached,230,50
ATL,JUN,07/06/2024,FLAT,1,H,234,50
ATL,JUN,07/06/2024,FLAT,2,Bleached,203,41
ATL,JUN,07/06/2024,FLAT,2,H,293,59
ATL,JUN,07/06/2024,FLAT,3,Bleached,226,41
ATL,JUN,07/06/2024,FLAT,3,H,326,59
ATL,JUN,16/06/2024,FLAT,1,Bleached,345,44
ATL,JUN,16/06/2024,FLAT,1,H,444,56
ATL,JUN,16/06/2024,FLAT,2,Bleached,294,37
ATL,JUN,16/06/2024,FLAT,2,H,505,63
ATL,JUN,16/06/2024,FLAT,3,Bleached,372,39
ATL,JUN,16/06/2024,FLAT,3,H,583,61
ATL,JUN,19/06/2024,CREST,1,Bleached,183,50
ATL,JUN,19/06/2024,CREST,1,H,184,50
ATL,JUN,19/06/2024,CREST,2,Bleached,172,46
ATL,JUN,19/06/2024,CREST,2,H,202,54
ATL,JUN,19/06/2024,CREST,3,Bleached,367,56
ATL,JUN,19/06/2024,CREST,3,H,285,44
ATL,MAR,09/03/2024,CREST,1,Bleached,24,4
ATL,MAR,09/03/2024,CREST,1,H,587,96
ATL,MAR,09/03/2024,CREST,2,Bleached,28,5
