REEF_SITE,YEAR,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,GENUS,BLEACH_STATUS,JUVENILES_NO,PRESENCE_ABSENCE,BLEACH_MONTH
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POR,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POR,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POR,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
