YEAR,MONTH,DAY,SST_MIN,SST_MAX,DHW
2023,JAN,1,26.15,27.8,0
2023,JAN,2,26.16,27.76,0
2023,JAN,3,26.34,27.74,0
2023,JAN,4,26.24,27.99,0
2023,JAN,5,26.36,27.84,0
2023,JAN,6,26.19,27.92,0
2023,JAN,7,26.31,27.86,0
2023,JAN,8,26.22,27.8,0
2023,JAN,9,26.21,27.81,0
2023,JAN,10,26.27,27.81,0
2023,JAN,11,26.4,28,0
2023,JAN,12,26.59,27.86,0
2023,JAN,13,26.67,28.12,0
2023,JAN,14,26.95,28.69,0
2023,JAN,15,27.05,28.46,0
2023,JAN,16,26.86,28.36,0
2023,JAN,17,26.97,28.26,0
2023,JAN,18,26.66,28.3,0
2023,JAN,19,26.66,28.11,0
2023,JAN,20,26.47,28.07,0
2023,JAN,21,26.67,27.97,0
2023,JAN,22,26.63,27.8,0
2023,JAN,23,26.63,28.04,0
2023,JAN,24,26.68,28.12,0
2023,JAN,25,26.31,28.05,0
2023,JAN,26,26.29,28.27,0
2023,JAN,27,26.09,28.2,0
2023,JAN,28,26.19,27.98,0
2023,JAN,29,26.08,27.84,0
2023,JAN,30,26.03,27.74,0
2023,JAN,31,25.86,27.6,0
2023,FEB,1,25.71,27.57,0
2023,FEB,2,25.89,27.81,0
2023,FEB,3,26.23,27.72,0
2023,FEB,4,26.19,27.79,0
2023,FEB,5,26.68,27.86,0
2023,FEB,6,26.5,28.13,0
2023,FEB,7,26.46,28.4,0
2023,FEB,8,26.72,28.32,0
2023,FEB,9,26.77,28.35,0
2023,FEB,10,26.76,28.56,0
2023,FEB,11,27.07,28.88,0
2023,FEB,12,27.22,28.83,0
2023,FEB,13,27.15,28.84,0
2023,FEB,14,27.47,29.16,0
2023,FEB,15,27.27,29.07,0
2023,FEB,16,27.25,28.82,0
2023,FEB,17,27.08,28.53,0
2023,FEB,18,27.26,28.7,0
2023,FEB,19,27.22,28.65,0
2023,FEB,20,27.17,28.67,0
2023,FEB,21,27.42,28.76,0
2023,FEB,22,27.7,28.73,0
2023,FEB,23,27.7,28.75,0
2023,FEB,24,27.9,28.95,0
2023,FEB,25,27.71,28.82,0
2023,FEB,26,27.41,28.67,0
